sample1	sample2	distance
0101012010131010011002001002112122010000	0121000130000020210001002000110030000010	0.5
0101012010131010011002001002112122010000	0000300000011010000301003000000000200100	0.425
0101012010131010011002001002112122010000	0000100100031010100301010101130020000000	0.45
0101012010131010011002001002112122010000	1000010000000001001021000110003000002000	0.375
0101012010131010011002001002112122010000	0001000000300300000000010003020000030030	0.425
0101012010131010011002001002112122010000	0300121000013000000000300210110000100002	0.375
0101012010131010011002001002112122010000	0120010210020000030011212000000102010000	0.5
0101012010131010011002001002112122010000	0000000101120000301100001000110300000310	0.45
0101012010131010011002001002112122010000	0000000010012301010123010010002001000100	0.375
0101012010131010011002001002112122010000	1010020110000000000312111030313110000011	0.35
0101012010131010011002001002112122010000	1031100111002000000120300030000001003001	0.25
0101012010131010011002001002112122010000	3011001000000001001300010132000110110000	0.4
0101012010131010011002001002112122010000	0000000000030100000011001020000000300000	0.425
0101012010131010011002001002112122010000	3001000002100000002112001002000001200000	0.475
0101012010131010011002001002112122010000	0000300101000000000303030020002001100000	0.325
0101012010131010011002001002112122010000	0100100001002101010001100100020001300330	0.3
0101012010131010011002001002112122010000	2110010101010120000010003203301010100100	0.3
0101012010131010011002001002112122010000	0000011101000000100111002020100000100120	0.3
0101012010131010011002001002112122010000	0000203300003001000100000010000000003023	0.275
0101012010131010011002001002112122010000	1001000000013113100103000002001002313020	0.4
0101012010131010011002001002112122010000	2300100001000002112001100020001001030011	0.275
0101012010131010011002001002112122010000	0000001000001031020312000210330101120100	0.375
0101012010131010011002001002112122010000	0000000003001000100210211000011100000000	0.425
0101012010131010011002001002112122010000	1030011200031110103100003031010003001100	0.375
0101012010131010011002001002112122010000	0010200003000000100200200021100000201133	0.2
0101012010131010011002001002112122010000	0000200000000301000301010020002100011100	0.35
0101012010131010011002001002112122010000	0101012000200010200130000000002000100100	0.5
0101012010131010011002001002112122010000	0020010311003001200121000000120100312000	0.375
0101012010131010011002001002112122010000	0110002020000010102100002003030000200000	0.45
0101012010131010011002001002112122010000	0030000000200001000000122002021112010100	0.45
0101012010131010011002001002112122010000	0000001010000000121000110100101003000001	0.425
0101012010131010011002001002112122010000	1002000003021200122000010003010010100031	0.325
0101012010131010011002001002112122010000	0011000301100111001120112000302110012001	0.375
0101012010131010011002001002112122010000	1001023201000103000100010100001000210002	0.275
0101012010131010011002001002112122010000	0302010002030300002010000100000000100001	0.375
0101012010131010011002001002112122010000	0100130030000000010200000101300000100300	0.4
0101012010131010011002001002112122010000	1110202200010203120110310030120001133000	0.2
0101012010131010011002001002112122010000	0000231010120020001000003010011031210000	0.525
0101012010131010011002001002112122010000	0100010000003001021100100001000021000001	0.475
0101012010131010011002001002112122010000	1000010100110000200001000000000100101000	0.425
0101012010131010011002001002112122010000	0002000110101000010000300000101100100012	0.5
0101012010131010011002001002112122010000	0300230010000000202100200110020000100000	0.325
0101012010131010011002001002112122010000	0100202030020000100000100000011000000001	0.45
0101012010131010011002001002112122010000	0100000330100230000000101001100203200100	0.45
0101012010131010011002001002112122010000	1311001033030201000000010101000200110001	0.325
0101012010131010011002001002112122010000	0003000033320200000220300010020001110120	0.275
0101012010131010011002001002112122010000	3100000100030210000003201011103100100010	0.45
0101012010131010011002001002112122010000	1000010013110000002301100300100010001230	0.375
0101012010131010011002001002112122010000	0130200300303100130000310003000013000000	0.325
0101012010131010011002001002112122010000	3210001000010103210010000001000001101200	0.275
0101012010131010011002001002112122010000	0332130001020130300000010010211010001013	0.25
0101012010131010011002001002112122010000	0000300102101100010002030002100001010000	0.525
0101012010131010011002001002112122010000	0010000300310000001002030000110001000000	0.5
0101012010131010011002001002112122010000	0000010000000120001001121000010000000300	0.475
0101012010131010011002001002112122010000	0000010010310013010120000010111000011210	0.475
0101012010131010011002001002112122010000	3012001001300100110000000000000001220200	0.325
0101012010131010011002001002112122010000	0111100103000000100212001011220310003010	0.325
0101012010131010011002001002112122010000	0200303000002000010000120002230200231012	0.35
0101012010131010011002001002112122010000	0000002200130300010000100000000000000010	0.475
0101012010131010011002001002112122010000	0011002000310000003000001100000010000102	0.45
0101012010131010011002001002112122010000	1000003100121001003020030110100000031013	0.3
0101012010131010011002001002112122010000	0001030210100000012200100001030001020000	0.5
0101012010131010011002001002112122010000	0100010101000002100003110001101000010001	0.4
0101012010131010011002001002112122010000	1011000101001101110003100030202131010002	0.375
0101012010131010011002001002112122010000	0100102011210201020020000010000220001000	0.4
0101012010131010011002001002112122010000	0000003012211103000000200030303010011000	0.4
0101012010131010011002001002112122010000	0000000000030030032100301000300000000003	0.45
0101012010131010011002001002112122010000	0330003001101100120130000001000010000000	0.375
0101012010131010011002001002112122010000	0001103010200000300000000000100000000230	0.45
0101012010131010011002001002112122010000	0002001100000002101000001010231000001010	0.375
0101012010131010011002001002112122010000	0001001033000001100000001200030010000000	0.425
0101012010131010011002001002112122010000	2000101300000000200001000001000001100011	0.3
0101012010131010011002001002112122010000	0002010000100000001100010100022010301000	0.45
0101012010131010011002001002112122010000	1100001321000000001200210000321000010033	0.35
0101012010131010011002001002112122010000	0020101000001010120101000303020012000200	0.4
